linetype,characterID,characterName,transactTime,transactionID,transactionType,stationID,stationName,clientID,clientName,typeID,typeName,quantity,price,transactionFor
TRADE,90192277,Gynax Gallenor,2011-06-12 20:11:00,1846104741,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90861145,Loki2012,38,Nocxium,2,376.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:12:00,1846105166,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90861145,Loki2012,37,Isogen,3,59.13,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:14:00,1846107835,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1166234681,SeRvOfGoD,38,Nocxium,3,376.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:15:00,1846109503,buy,60015016,Trossere VII - Moon 3 - University of Caille School,1046990208,Ramken,37,Isogen,436,59.13,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:16:00,1846110731,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90852775,Pavel Uralskiy,37,Isogen,318,59.13,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:19:00,1846113775,buy,60015016,Trossere VII - Moon 3 - University of Caille School,1046990208,Ramken,37,Isogen,3180,59.13,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:20:00,1846115163,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,123457504,Gul Voda,38,Nocxium,165,376.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:22:00,1846117928,buy,60011857,Pucherie VI - Moon 11 - Federation Navy Testing Facilities,796422874,Lux Exterior,38,Nocxium,2,376.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:26:00,1846123148,buy,60010768,Atlangeins V - Moon 11 - Chemal Tech Factory,1998318273,Pukin98,34,Tritanium,1747,2.61,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:35:00,1846134938,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,494807307,Sintax Sureshot,25266,Gas Cloud Harvester I,3,1788999.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:36:00,1846135715,buy,60011788,Jel VI - Federation Navy Logistic Support,90721941,Costigan Borgia,36,Mexallon,1597,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:38:00,1846138308,buy,60011788,Jel VI - Federation Navy Logistic Support,90376129,Rais Stevein,36,Mexallon,1594,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:39:00,1846139663,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90646737,Korrodan Exsussem,5843,F85 Peripheral Damage System I,1,979894.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:42:00,1846142666,buy,60009595,Aufay I - Astral Mining Inc. Mining Outpost,90691905,Cain Magellan,38,Nocxium,11,376.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:46:00,1846148298,buy,60011788,Jel VI - Federation Navy Logistic Support,90669893,vertigo vashco,36,Mexallon,126,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 20:47:00,1846148512,buy,60011851,Fricoure VIII - Moon 2 - Federation Navy Assembly Plant,1618365663,Scyffir,23007,Federation Navy Iron Charge L,6300,750.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 21:08:00,1846175541,buy,60010351,Jel I - Roden Shipyards Warehouse,90744100,Korr Unae,36,Mexallon,195,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 21:22:00,1846192622,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90360966,Narni Ekanon,16236,Coercer,2,1449995.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 21:47:00,1846222459,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1189762580,DarkTriumph,4833,Medium Electrochemical Capacitor Booster I,2,1188998.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 21:50:00,1846225919,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,597016237,Cbpress,4833,Medium Electrochemical Capacitor Booster I,1,1188998.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 22:09:00,1846248338,buy,60010348,Jel VIII - Moon 12 - Roden Shipyards Factory,90748323,Gantz Tleilax,36,Mexallon,1223,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 22:43:00,1846287635,buy,60011566,Bourynes VII - Moon 2 - University of Caille School,90175269,SexyDan20,38,Nocxium,5,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 22:51:00,1846295232,buy,60009676,Agrallarier VIII - Moon 3 - Astral Mining Inc. Refinery,90748381,Dime Kasybos,38,Nocxium,499,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 22:55:00,1846299412,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90851499,Sayako Nadomi,38,Nocxium,54,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 22:56:00,1846301141,buy,60011860,Eglennaert I - Moon 16 - Federation Navy Logistic Support,90733412,Toni vanKertis,38,Nocxium,10,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 22:58:00,1846302701,buy,60015013,Odotte III - University of Caille School,90277069,Khan81,38,Nocxium,261,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:01:00,1846305480,buy,60011788,Jel VI - Federation Navy Logistic Support,90338936,Mardazma Jahreni,36,Mexallon,6,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:02:00,1846307171,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1229139925,Alathus Christensen,2185,Hammerhead II,2,516000.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:03:00,1846307510,buy,60011797,Jel VIII - Moon 20 - Federation Navy Assembly Plant,637610644,Eillwyna,36,Mexallon,13,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:09:00,1846314338,buy,60011869,Eglennaert I - Moon 4 - Federation Navy Assembly Plant,90760983,Bigred Balllsack,38,Nocxium,68,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:12:00,1846316953,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1767887068,zagorat,17478,Retriever,1,5699999.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:13:00,1846317345,buy,60011788,Jel VI - Federation Navy Logistic Support,90383909,Towken Horben,36,Mexallon,603,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:19:00,1846323076,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90397476,Isabel Moto,38,Nocxium,214,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:23:00,1846327533,buy,60011857,Pucherie VI - Moon 11 - Federation Navy Testing Facilities,90726990,Ai Shinimura,38,Nocxium,2,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:26:00,1846330640,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90530966,Ael Botlehewer,1319,Expanded Cargohold II,3,431040.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:29:00,1846333436,buy,60009592,Aufay III - Moon 3 - Astral Mining Inc. Mining Outpost,90743058,Ry Anubis,38,Nocxium,2,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:30:00,1846334536,buy,60011554,Pucherie VI - Moon 18 - Garoun Investment Bank Vault,1344773273,Brando50,38,Nocxium,20,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:31:00,1846335446,buy,60009676,Agrallarier VIII - Moon 3 - Astral Mining Inc. Refinery,90277069,Khan81,38,Nocxium,25,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:32:00,1846336354,buy,60011797,Jel VIII - Moon 20 - Federation Navy Assembly Plant,637610644,Eillwyna,36,Mexallon,663,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:34:00,1846338380,buy,60003574,Stetille VI - Moon 1 - Caldari Business Tribunal Bureau Offices,301439836,Evil Lives,38,Nocxium,6,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:35:00,1846339891,buy,60005617,Deltole III - Moon 1 - Core Complexion Inc. Warehouse,90682019,tiberius Isagar,38,Nocxium,23,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:37:00,1846341027,buy,60011983,Auvergne V - Moon 5 - Federal Intelligence Office Assembly Plant,1691992887,Lazerius,38,Nocxium,42,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:41:00,1846344969,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1409385459,Empress StarLight,38,Nocxium,24,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:44:00,1846347868,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1645472991,Mike AntHunt,1319,Expanded Cargohold II,5,431040.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:54:00,1846357127,buy,60011800,Jel V - Federation Navy Logistic Support,90338936,Mardazma Jahreni,36,Mexallon,214,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:55:00,1846358100,buy,60011926,Decon VI - Moon 10 - Federal Intelligence Office Assembly Plant,645289356,Vaclav Johnson,38,Nocxium,72,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:56:00,1846358940,buy,60011926,Decon VI - Moon 10 - Federal Intelligence Office Assembly Plant,645289356,Vaclav Johnson,38,Nocxium,16,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:57:00,1846360184,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1753467012,Erandil Starfire,38,Nocxium,261,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-12 23:59:00,1846362048,buy,60011869,Eglennaert I - Moon 4 - Federation Navy Assembly Plant,90671931,Antonius Maximus Welch,38,Nocxium,372,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:00:00,1846362650,buy,60009856,Ardallabier VII - Moon 3 - Quafe Company Warehouse,90755231,Alexander Hardin,39,Zydrine,2,810.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:03:00,1846365452,buy,60010582,Pulin V - Moon 8 - Egonics Inc. Development Studio,90782449,Alaeth Miromme,38,Nocxium,43,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:04:00,1846366180,buy,60011980,Eglennaert I - Moon 4 - Federal Intelligence Office Logistic Support,828641707,Gaius Corvinus,38,Nocxium,4,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:08:00,1846369943,buy,60011797,Jel VIII - Moon 20 - Federation Navy Assembly Plant,90788245,Amaimon Pheles,36,Mexallon,3929,22.04,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:11:00,1846372073,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90795241,Kaderian Norday,38,Nocxium,9,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:13:00,1846373802,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1798997396,AllSavage,38,Nocxium,3,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:14:00,1846375064,buy,60011848,Vittenyn VI - Moon 13 - Federation Navy Assembly Plant,1566804716,Uttara Phalguni,38,Nocxium,56,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:16:00,1846376941,buy,60011848,Vittenyn VI - Moon 13 - Federation Navy Assembly Plant,1566804716,Uttara Phalguni,38,Nocxium,14,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:18:00,1846378102,buy,60011848,Vittenyn VI - Moon 13 - Federation Navy Assembly Plant,90182460,Temporal Reaver,38,Nocxium,2,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:21:00,1846380688,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90404758,Sophia Coral,38,Nocxium,19,377.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-13 00:22:00,1846381891,buy,60010204,Seyllin VIII - Moon 14 - CreoDron Warehouse,90562747,cry on,34,Tritanium,20492,2.61,personal
