linetype,characterID,characterName,transactTime,transactionID,transactionType,stationID,stationName,clientID,clientName,typeID,typeName,quantity,price,transactionFor
TRADE,90192277,Gynax Gallenor,2011-04-06 00:39:00,1776271484,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,584366018,LocarockChicka,2032,Cap Recharger II,1,604999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 00:45:00,1776274997,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1431911917,Anencephale,2032,Cap Recharger II,1,604999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 00:47:00,1776276058,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1926129149,Pleniers,3540,Large Armor Repairer II,2,1291112.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 00:48:00,1776276574,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,769109599,Jordan Frost,2032,Cap Recharger II,4,605999.00,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 00:51:00,1776278547,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1156200329,Oro Saintsburg,24700,Myrmidon,1,30501007.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:03:00,1776286559,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90339001,Thrans Hariere,2032,Cap Recharger II,1,604999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:04:00,1776286774,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90396232,Beodude Theman,2032,Cap Recharger II,1,604999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:13:00,1776291994,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1354004554,Capt Blackjack,2032,Cap Recharger II,1,604999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:18:00,1776294815,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,847378941,Tanya Tucker,10225,Social Adaptation Chip - Standard,1,19884499.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:34:00,1776304984,buy,60009364,Gallareue I - Federal Freight Storage,90589248,Ghost Rider Deninard,223,Iron Charge M,2782,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:35:00,1776305881,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1829907626,Ceglin Varl,2032,Cap Recharger II,4,604999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:38:00,1776307697,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90570683,Enoch Root Cryptos,2032,Cap Recharger II,1,604999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:43:00,1776310659,buy,60011584,Ney IV - University of Caille School,90536731,MissRaven Ohaya,17940,Mining Barge,1,155010.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-06 01:44:00,1776311267,buy,60005617,Deltole III - Moon 1 - Core Complexion Inc. Warehouse,927418072,Grumbo,17482,Strip Miner I,1,1440011.08,personal
